Player,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,labels
Barry Yates,-0.4,0.1,-0.2,-0.08,-0.8,-1.4,-2.1,0.0,31.0,83.0,0.37,13.0,46.0,0.2,31.0,83.0,0.37,0.37,7.0,11.0,0.64,19.0,75.0,40.0,7.0,40.0,4.0,16.7,14.0,69.0,0
Bart Kofoed,-0.12,0.1,0.0,-0.01,-4.88,-1.86,-6.74,-0.12,11.6,30.0,0.29,0.6,3.2,0.15,11.0,26.8,0.31,0.29,8.6,14.0,0.6,3.2,8.0,11.2,21.6,3.8,0.8,11.2,19.0,32.4,3
Bayard Forrest,-0.05,1.4,1.3,0.06,-2.45,1.65,-0.8,0.3,114.5,255.0,0.45,6.5,24.0,0.0,114.5,255.0,0.45,0.45,55.5,109.0,0.51,97.0,185.5,282.5,148.0,26.0,35.5,95.5,128.0,284.5,2
Ben Bentil,-0.1,0.0,-0.1,-0.47,-22.4,-4.5,-26.9,-0.1,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.71,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3
Ben Clyde,0.0,0.2,0.2,0.07,-3.7,-2.1,-5.9,-0.2,31.0,72.0,0.43,0.0,1.0,0.31,31.0,72.0,0.43,0.43,7.0,9.0,0.78,15.0,26.0,41.0,5.0,5.0,3.0,15.3,34.0,69.0,0
Ben Coleman,0.29,0.7,0.99,0.06,-3.26,-1.29,-4.54,-0.19,115.57,226.0,0.5,0.0,1.14,0.06,115.57,224.86,0.5,0.5,67.0,88.14,0.73,60.14,122.43,182.57,27.14,19.57,20.0,61.29,120.43,298.14,0
Ben Davis,-0.02,0.05,0.05,0.03,-0.27,-2.33,-2.58,-0.02,5.25,14.75,0.33,0.0,0.0,0.2,5.25,14.75,0.33,0.33,3.0,6.5,0.59,7.5,5.75,13.25,1.25,1.5,0.5,1.75,6.25,13.5,0
Ben Gillery,-0.1,0.1,0.0,0.01,-7.0,-0.9,-7.9,-0.1,6.0,19.0,0.32,0.0,0.0,0.0,6.0,19.0,0.32,0.32,13.0,23.0,0.56,7.0,16.0,23.0,2.0,2.0,4.0,5.0,29.0,25.0,3
Ben Gordon,1.75,1.27,3.04,0.06,0.17,-2.33,-2.14,0.43,357.36,826.55,0.42,106.45,265.55,0.39,250.91,561.0,0.44,0.49,186.45,217.64,0.85,30.27,138.0,168.27,169.82,46.18,10.36,141.0,156.36,1007.64,2
Ben Handlogten,0.25,0.2,0.45,0.1,-1.25,-1.05,-2.3,-0.05,34.0,65.0,0.52,0.0,0.5,0.0,34.0,64.5,0.53,0.52,13.5,22.0,0.6,22.5,37.5,60.0,9.5,5.0,4.5,14.0,43.5,81.5,0
Ben Hansbrough,-0.1,0.3,0.2,0.04,-4.0,-0.4,-4.4,-0.1,15.0,45.0,0.33,6.0,23.0,0.26,9.0,22.0,0.41,0.4,21.0,27.0,0.78,2.0,16.0,18.0,21.0,7.0,2.0,18.0,23.0,57.0,0
Ben Kelso,-0.3,0.3,0.0,0.0,-5.4,-1.0,-6.4,-0.3,35.0,96.0,0.36,0.0,3.0,0.33,35.0,96.0,0.36,0.36,15.0,22.0,0.68,15.0,16.0,31.0,18.0,12.0,1.0,13.9,45.0,85.0,0
Ben McDonald,0.35,0.28,0.62,0.06,-1.98,-0.75,-2.7,-0.2,115.75,247.25,0.52,2.5,11.0,0.15,113.25,236.25,0.53,0.52,31.25,43.0,0.66,53.75,88.25,142.0,59.0,19.25,4.25,37.25,121.75,265.25,0
Ben McLemore,0.27,0.73,1.0,0.02,-1.38,-1.62,-3.0,-0.25,248.25,596.0,0.42,91.75,260.75,0.36,156.5,335.25,0.47,0.49,97.25,124.75,0.77,34.25,154.25,188.5,88.0,50.75,13.25,98.75,167.0,685.5,2
Ben Poquette,1.31,1.32,2.63,0.09,-1.99,1.01,-0.98,0.59,169.75,351.17,0.48,1.83,8.0,0.16,168.67,345.92,0.49,0.48,81.33,104.33,0.78,90.92,228.42,319.33,75.58,32.75,69.0,58.92,172.17,421.92,2
Ben Uzoh,-0.05,0.25,0.22,0.07,-0.98,1.0,0.05,0.05,32.75,85.5,0.38,0.75,2.5,0.17,32.0,83.0,0.38,0.38,13.75,23.5,0.63,17.0,31.75,48.75,47.75,11.75,3.5,15.75,22.75,80.0,0
Ben Wallace,1.28,4.12,5.39,0.12,-2.31,4.82,2.51,2.76,150.39,320.72,0.46,0.39,3.06,0.13,150.0,317.67,0.47,0.46,65.61,158.22,0.4,204.33,411.56,615.89,85.67,80.94,125.22,62.67,122.17,366.78,1
Beno Udrih,1.12,0.72,1.84,0.07,-0.76,-1.99,-2.76,0.05,163.89,356.53,0.45,28.05,80.11,0.38,135.84,276.42,0.48,0.5,59.68,71.68,0.84,18.95,85.47,104.42,178.53,34.42,4.16,73.05,77.16,415.53,2
Benoit Benjamin,0.1,1.75,1.85,0.05,-4.26,0.85,-3.41,0.17,209.57,422.05,0.47,0.05,1.14,0.02,209.52,420.9,0.47,0.47,117.38,163.33,0.7,86.1,272.67,358.76,60.71,31.05,88.52,109.71,134.95,536.57,2
Bernard James,0.3,0.37,0.6,0.11,-2.97,1.87,-1.1,0.03,25.33,51.0,0.48,0.0,1.0,0.0,25.33,50.0,0.49,0.48,17.0,25.0,0.68,28.33,42.33,70.67,4.33,5.67,20.33,11.33,35.0,67.67,0
Bernard King*,3.52,1.84,5.37,0.11,2.1,-1.19,0.91,1.96,559.29,1079.21,0.52,2.57,12.79,0.2,557.64,1069.64,0.52,0.52,283.71,388.86,0.72,121.71,239.71,361.43,204.5,61.86,16.43,199.36,206.07,1403.93,1
Bernard Robinson,-0.1,0.52,0.42,0.05,-4.0,1.66,-2.38,-0.04,46.2,114.0,0.37,1.0,6.6,0.16,45.2,107.4,0.38,0.37,34.0,42.8,0.8,19.2,53.4,72.6,29.0,25.2,3.6,25.2,49.4,127.4,0
Bernard Thompson,0.26,0.44,0.66,0.04,-2.7,-0.64,-3.3,-0.1,82.0,186.8,0.41,0.0,3.4,0.0,82.0,183.4,0.42,0.41,51.6,65.4,0.79,32.8,37.6,70.4,53.2,25.4,5.4,36.2,78.2,215.6,0
Bernard Toone,-0.3,0.2,-0.1,-0.04,-5.6,-0.5,-6.0,-0.1,23.0,64.0,0.36,1.0,7.0,0.14,22.0,57.0,0.39,0.37,8.0,10.0,0.8,12.0,22.0,34.0,12.0,4.0,5.0,16.0,20.0,55.0,0
Bernie Fryer,0.65,0.3,1.0,0.05,-1.5,-1.2,-2.75,-0.1,136.5,298.5,0.45,4.5,16.5,0.33,136.5,298.5,0.45,0.45,70.0,89.0,0.78,38.0,64.5,102.5,165.5,57.0,5.0,14.0,120.5,343.0,2
Bernie Harris,-0.1,0.0,-0.1,-0.19,-12.8,-2.7,-15.5,-0.1,2.0,11.0,0.18,13.0,45.0,0.2,2.0,11.0,0.18,0.18,1.0,2.0,0.5,2.0,6.0,8.0,1.0,0.0,1.0,16.7,0.0,5.0,3
Bernie Williams,-1.4,1.1,-0.3,-0.02,-2.6,0.7,-1.8,0.0,112.0,338.0,0.33,0.0,1.0,0.33,112.0,338.0,0.33,0.33,68.0,81.0,0.84,75.0,152.0,85.0,113.0,20.0,31.0,15.3,76.0,292.0,0
Bill Bradley*,1.67,2.36,4.01,0.07,-1.46,-0.81,-2.23,-0.1,423.57,939.57,0.45,11.43,38.0,0.31,423.57,939.57,0.45,0.45,133.71,155.71,0.85,41.14,131.29,236.0,260.86,45.57,12.71,14.04,244.43,980.86,2
Bill Bridges,1.31,1.74,3.05,0.07,-1.64,-0.95,-2.52,-0.01,190.18,412.27,0.43,10.36,35.09,0.2,190.18,412.27,0.43,0.43,105.73,154.91,0.62,43.18,90.55,537.27,116.73,31.64,7.09,14.75,163.27,486.09,2
Bill Cartwright,2.89,1.97,4.85,0.11,-1.29,-0.04,-1.33,0.71,310.4,591.2,0.5,0.0,0.13,0.0,310.4,591.07,0.5,0.5,226.73,294.13,0.73,120.8,286.27,407.07,92.67,30.67,44.53,126.13,188.87,847.53,1
Bill Chamberlain,0.2,0.3,0.5,0.06,0.0,-0.1,-0.1,0.2,57.0,130.0,0.44,15.0,47.0,0.31,57.0,130.0,0.44,0.44,39.0,56.0,0.7,33.0,47.0,80.0,37.0,20.0,12.0,12.8,74.0,153.0,0
Bill Curley,0.04,0.16,0.2,-0.0,-4.82,-0.53,-5.34,-0.11,23.44,52.11,0.45,0.33,1.33,0.23,23.11,50.78,0.46,0.45,12.0,16.56,0.67,18.11,23.78,41.89,8.56,9.0,6.33,12.44,50.11,59.22,0
Bill Dinwiddie,-0.75,0.65,-0.1,-0.06,-1.85,0.1,-1.7,0.05,69.5,192.5,0.33,4.5,16.5,0.2,69.5,192.5,0.33,0.33,29.5,41.5,0.64,60.0,135.25,120.5,21.5,26.0,22.5,13.95,56.5,168.5,0
Bill Edwards,-0.3,0.1,-0.3,-0.28,-11.0,0.6,-10.4,-0.1,2.0,18.0,0.11,0.0,5.0,0.0,2.0,13.0,0.15,0.11,2.0,5.0,0.4,5.0,9.0,14.0,4.0,3.0,1.0,4.0,6.0,6.0,3
Bill Garnett,1.32,1.38,2.72,0.1,-1.23,1.02,-0.12,0.7,143.0,291.75,0.49,0.0,2.25,0.0,143.0,289.5,0.49,0.49,123.5,171.5,0.72,117.0,207.5,324.5,98.25,39.75,43.25,83.0,208.0,409.5,2
Bill Hanzlik,0.99,1.49,2.47,0.07,-1.57,0.31,-1.26,0.37,183.6,423.2,0.44,4.6,21.6,0.17,179.0,401.6,0.45,0.44,169.6,217.1,0.78,69.1,136.7,205.8,205.8,72.7,20.5,109.0,222.2,541.4,2
Bill Hewitt,0.2,0.73,0.92,0.04,-2.15,0.18,-1.92,0.02,135.5,301.25,0.45,7.75,27.5,0.2,135.5,301.25,0.45,0.45,41.25,74.75,0.56,48.5,117.75,327.0,82.25,23.75,16.75,14.3,130.75,312.25,2
