,college,height,name,position,url,weight,3PA,3P%,3P,FGA,FG%,FG,FT%,FTA,FT,G,PTS,labels
262,"Georgetown University, Towson University",6-8,Jerrelle Benimon,F,/players/b/benimje01.html,245.0,0.9,0.327,0.3,6.6,0.522,3.5,0.6859999999999999,4.2,2.9,128.0,10.1,2
263,Creighton University,7-0,Benoit Benjamin,C,/players/b/benjabe01.html,250.0,0.0,0.25,0.0,12.2,0.562,6.9,0.72,5.5,4.0,89.0,17.7,3
264,Oregon State University,6-6,Corey Benjamin,G,/players/b/benjaco01.html,200.0,4.4,0.305,1.3,13.0,0.491,6.4,0.688,4.9,3.4,48.0,17.5,0
265,"University of Nevada, Las Vegas",6-8,Anthony Bennett,F,/players/b/bennean01.html,245.0,2.7,0.375,1.0,10.8,0.5329999999999999,5.8,0.701,5.1,3.5,35.0,16.1,3
266,University of Notre Dame,6-0,Elmer Bennett,G,/players/b/benneel01.html,170.0,2.1,0.35100000000000003,0.7,9.8,0.443,4.3,0.7170000000000001,3.7,2.6,124.0,12.0,1
267,Arizona State University,6-6,Mario Bennett,F,/players/b/bennema01.html,235.0,0.8,0.294,0.2,10.6,0.5870000000000001,6.2,0.53,5.8,3.1,87.0,15.7,3
268,University of Pittsburgh,6-7,Mel Bennett,F,/players/b/benneme01.html,200.0,0.9,0.333,0.3,9.1,0.413,3.8,0.682,3.8,2.6,29.0,10.1,3
269,Winston-Salem State University,6-3,Spider Bennett,G,/players/b/bennesp01.html,190.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
270,University of Wisconsin-Green Bay,6-0,Tony Bennett,G,/players/b/benneto01.html,175.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
271,University of Kentucky,6-7,Winston Bennett,F,/players/b/bennewi01.html,210.0,0.1,0.5,0.0,8.0,0.484,3.9,0.713,3.9,2.8,133.0,10.5,3
272,University of Alabama,6-8,David Benoit,F,/players/b/benoida01.html,220.0,0.3,0.435,0.2,8.7,0.511,4.4,0.75,2.2,1.6,66.0,10.6,2
273,Oakland University,6-11,Keith Benson,C,/players/b/bensoke02.html,240.0,0.2,0.379,0.1,9.1,0.5579999999999999,5.1,0.679,5.7,3.9,135.0,14.1,3
274,Indiana University,6-10,Kent Benson,C,/players/b/bensoke01.html,235.0,0.0,0.25,0.0,11.8,0.536,6.3,0.715,3.6,2.6,114.0,15.3,3
275,Providence College,6-9,Ben Bentil,F,/players/b/bentibe01.html,235.0,2.7,0.324,0.9,10.2,0.455,4.7,0.7609999999999999,4.8,3.6,69.0,13.8,1
276,Marquette University,5-11,Gene Berce,G-F,/players/b/bercege01.html,175.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
277,University of Utah,6-8,Gary Bergen,C,/players/b/bergega01.html,210.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
278,Weber State University,6-8,Larry Bergh,F,/players/b/berghla01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
279,"Oregon State University, San Jose State University",6-8,Ricky Berry,F,/players/b/berryri01.html,205.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
280,St. John's University,6-8,Walter Berry,F,/players/b/berrywa01.html,215.0,0.9,0.333,0.3,13.5,0.581,7.9,0.708,6.1,4.3,71.0,20.1,0
281,California University of Pennslyvania,5-11,Del Beshore,G,/players/b/beshode01.html,165.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
282,Georgia Institute of Technology,5-11,Travis Best,G,/players/b/besttr01.html,182.0,5.3,0.393,2.1,12.4,0.456,5.7,0.809,3.9,3.2,124.0,16.6,1
283,University of Arkansas,6-1,Patrick Beverley,G,/players/b/beverpa01.html,185.0,5.2,0.382,2.0,9.7,0.42,4.1,0.73,3.9,2.8,70.0,13.0,1
284,New Mexico State University,7-5,Sim Bhullar,C,/players/b/bhullsi01.html,360.0,0.0,0.25,0.0,6.4,0.633,4.1,0.496,4.2,2.1,65.0,10.2,2
285,University of Connecticut,6-2,Wesley Bialosuknia,G,/players/b/bialowe01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
286,Bowling Green State University,6-3,Al Bianchi,G,/players/b/biancal01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
287,Long Island University,5-11,Hank Biasatti,G,/players/b/biasaha01.html,175.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
288,"University of California, Los Angeles",6-1,Henry Bibby,G,/players/b/bibbyhe01.html,185.0,3.8,0.366,1.4,12.8,0.443,5.7,0.823,3.7,3.1,90.0,14.4,1
289,University of Arizona,6-1,Mike Bibby,G,/players/b/bibbymi01.html,190.0,5.3,0.39,2.1,11.4,0.456,5.2,0.73,3.9,2.9,69.0,15.4,1
290,North Carolina State University,6-1,Ed Biedenbach,G,/players/b/biedeed01.html,175.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
291,University of Pennsylvania,6-7,Bob Bigelow,F-G,/players/b/bigelbo01.html,215.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
292,Duquesne University,6-9,Lionel Billingy,F-C,/players/b/billili01.html,215.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
293,University of Colorado,6-3,Chauncey Billups,G,/players/b/billuch01.html,202.0,5.7,0.382,2.2,13.1,0.413,5.4,0.857,6.5,5.6,55.0,18.5,0
294,Syracuse University,6-3,Dave Bing,G,/players/b/bingda01.html,180.0,3.8,0.366,1.4,19.4,0.495,9.6,0.764,7.3,5.6,76.0,24.8,0
295,North Carolina Agricultural and Technical State University,6-8,Joe Binion,F,/players/b/biniojo01.html,235.0,0.9,0.333,0.3,14.4,0.502,7.2,0.6659999999999999,6.1,4.0,116.0,18.5,0
296,"University of Pittsburgh, University of Nevada, Las Vegas",6-9,Khem Birch,C-F,/players/b/birchkh01.html,220.0,0.0,0.222,0.0,5.7,0.531,3.0,0.6679999999999999,4.2,2.8,69.0,8.9,2
