,college,height,name,position,url,weight,3PA,3P%,3P,FGA,FG%,FG,FT%,FTA,FT,G,PTS,labels
2289,"University of California, Los Angeles",6-9,Kevon Looney,F-C,/players/l/looneke01.html,220.0,1.5,0.415,0.6,8.9,0.47,4.2,0.626,4.1,2.6,36.0,11.6,3
2290,Stanford University,7-0,Brook Lopez,C,/players/l/lopezbr01.html,275.0,0.4,0.14300000000000002,0.1,12.7,0.48,6.1,0.764,4.9,3.7,53.0,16.0,3
2291,St. John's University,6-5,Felipe Lopez,G,/players/l/lopezfe01.html,199.0,4.4,0.29600000000000004,1.3,14.2,0.415,5.9,0.657,5.9,3.9,114.0,16.9,0
2292,Stanford University,7-0,Robin Lopez,C,/players/l/lopezro01.html,255.0,0.0,0.5,0.0,6.9,0.511,3.5,0.612,3.1,1.9,67.0,9.0,2
2293,Jackson State University,6-4,Ryan Lorthridge,G,/players/l/lorthry01.html,190.0,1.9,0.327,0.6,9.0,0.473,4.3,0.713,3.2,2.3,87.0,11.4,1
2294,University of Oregon,6-5,Jim Loscutoff,F,/players/l/loscuji01.html,220.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2295,Seattle University,6-5,Plummer Lott,F-G,/players/l/lottpl01.html,210.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
2296,"Boston College, St. John's University",6-3,Kevin Loughery,G,/players/l/loughke01.html,190.0,3.8,0.366,1.4,13.2,0.4370000000000001,5.8,0.7490000000000001,3.5,2.6,70.0,14.1,1
2297,Southern University and A&M College,6-8,Bob Love,F,/players/l/lovebo01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2298,"University of California, Los Angeles",6-10,Kevin Love,F,/players/l/loveke01.html,251.0,2.1,0.354,0.7,10.4,0.5589999999999999,5.8,0.767,6.6,5.1,39.0,17.5,0
2299,University of Oregon,6-9,Stan Love,F,/players/l/lovest01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2300,University of Kansas,6-9,Clyde Lovellette,C-F,/players/l/lovelcl01.html,234.0,0.1,0.222,0.0,9.7,0.5455000000000001,5.15,0.6619999999999999,4.05,2.75,93.5,13.4,3
2301,North Carolina State University,6-0,Sidney Lowe,G,/players/l/lowesi01.html,195.0,3.8,0.366,1.4,6.1,0.471,2.9,0.754,3.5,2.7,120.0,8.4,1
2302,University of Puget Sound,6-3,Charlie Lowery,G,/players/l/lowerch01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2303,Villanova University,6-0,Kyle Lowry,G,/players/l/lowryky01.html,205.0,0.7,0.325,0.2,7.1,0.449,3.2,0.737,4.0,2.9,57.0,9.5,3
2304,Fordham University,6-3,Al Lucas,F-G,/players/l/lucasal01.html,195.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
2305,Ohio State University,6-8,Jerry Lucas,F-C,/players/l/lucasje01.html,230.0,0.1,0.28800000000000003,0.0,15.2,0.624,9.5,0.777,6.9,5.3,82.0,24.3,0
2306,University of Maryland,6-3,John Lucas,G,/players/l/lucasjo01.html,175.0,3.8,0.366,1.4,14.9,0.525,7.8,0.778,3.4,2.6,110.0,18.3,1
2307,Michigan State University,6-1,Kalin Lucas,G,/players/l/lucaska01.html,195.0,2.8,0.377,1.1,11.2,0.425,4.8,0.7959999999999999,4.5,3.6,141.0,14.2,1
2308,Marquette University,6-9,Maurice Lucas,F-C,/players/l/lucasma01.html,215.0,0.1,0.28800000000000003,0.0,13.4,0.494,6.6,0.759,3.2,2.4,60.0,15.7,3
2309,"Baylor University, Oklahoma State University",5-11,John Lucas III,G,/players/l/lucasjo02.html,166.0,5.8,0.383,2.2,11.9,0.445,5.3,0.8690000000000001,2.4,2.1,126.0,14.9,1
2310,University of Houston,6-6,Ted Luckenbill,F,/players/l/luckete01.html,205.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2311,University of Nebraska,6-0,Tyronn Lue,G,/players/l/luety01.html,175.0,4.1,0.35600000000000004,1.5,12.7,0.446,5.7,0.7879999999999999,4.0,3.2,99.0,15.9,1
2312,St. Francis College,6-2,Jim Luisi,G,/players/l/luisiji01.html,180.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2313,Georgetown University,6-3,Al Lujack,F,/players/l/lujacal01.html,220.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2314,Miami University,6-0,Phil Lumpkin,G,/players/l/lumpkph01.html,165.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2315,New York University,6-1,Ray Lumpp,G,/players/l/lumppra01.html,178.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2316,Syracuse University,6-10,Tyler Lydon,F,/players/l/lydonty01.html,215.0,3.5,0.4,1.4,8.2,0.476,3.9,0.809,2.9,2.4,71.0,11.6,1
2317,University of Kentucky,6-10,Trey Lyles,F,/players/l/lylestr01.html,234.0,0.8,0.138,0.1,6.7,0.488,3.3,0.735,2.8,2.1,36.0,8.7,2
2318,University of North Carolina,6-8,George Lynch,F,/players/l/lynchge01.html,218.0,0.2,0.344,0.1,9.8,0.519,5.1,0.6509999999999999,3.4,2.2,140.0,12.5,3
2319,University of Minnesota,6-5,Kevin Lynch,G-F,/players/l/lynchke01.html,195.0,2.5,0.393,1.0,9.3,0.469,4.4,0.784,2.1,1.7,119.0,11.4,1
2320,Wilberforce University,6-7,Lonnie Lynn,F,/players/l/lynnlo01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2321,"University of California, Los Angeles",6-7,Mike Lynn,F,/players/l/lynnmi01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2322,University of Miami,6-5,Sheldon Mac,G,/players/m/mcclesh01.html,200.0,3.7,0.34,1.3,9.9,0.455,4.5,0.818,4.5,3.7,141.0,13.9,1
2323,Canisius College,6-5,Mike Macaluso,F,/players/m/macalmi01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2324,Saint Louis University,6-8,Ed Macauley,C-F,/players/m/macaued01.html,185.0,0.1,0.222,0.0,5.8,0.853,4.9,1.266,3.0,3.8,104.0,13.6,3
2325,University of Washington,7-0,Todd MacCulloch,C,/players/m/maccuto01.html,280.0,0.0,0.25,0.0,9.2,0.664,6.1,0.66,4.5,2.9,115.0,15.2,3
2326,St. John's University,6-2,Ronnie MacGilvray,G,/players/m/macgiro01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2327,Iona College,6-1,Scott Machado,G,/players/m/machasc01.html,205.0,2.7,0.342,0.9,9.3,0.429,4.0,0.74,4.4,3.3,132.0,12.2,1
2328,East Carolina University,6-3,Ollie Mack,G,/players/m/mackol01.html,185.0,3.8,0.366,1.4,18.9,0.514,9.7,0.737,4.8,3.5,52.0,23.0,0
2329,"Iowa State University, Tyler Junior College, University of Houston",6-7,Sam Mack,F-G,/players/m/macksa01.html,220.0,2.4,0.376,0.9,10.7,0.474,5.1,0.7509999999999999,5.0,3.7,60.0,14.7,1
2330,Butler University,6-3,Shelvin Mack,G,/players/m/macksh01.html,203.0,5.6,0.35700000000000004,2.0,11.4,0.419,4.8,0.755,3.4,2.6,108.0,14.1,1
2331,Georgia Institute of Technology,6-9,Malcolm Mackey,F-C,/players/m/mackema01.html,248.0,0.0,0.0,0.0,10.0,0.545,5.4,0.621,3.9,2.4,130.0,13.3,3
2332,Louisiana State University,6-7,Rudy Macklin,F-G,/players/m/macklru01.html,205.0,2.4,0.36,0.9,11.6,0.595,6.9,0.677,4.5,3.1,123.0,16.9,3
2333,"Georgetown University, University of Florida",6-10,Vernon Macklin,F,/players/m/macklve01.html,227.0,0.0,0.0,0.0,5.3,0.61,3.2,0.455,1.9,0.8,136.0,7.3,2
2334,Seton Hall University,6-0,Johnny Macknowsky,G-F,/players/m/macknjo01.html,180.0,3.1,0.355,1.2,11.0,0.477,5.2,0.667,3.8,2.7,103.0,13.9,1
2335,"University of California, Los Angeles",6-10,Don MacLean,F,/players/m/macledo01.html,235.0,0.3,0.314,0.1,14.0,0.531,7.4,0.86,6.5,5.6,127.0,20.5,0
2336,Temple University,6-5,Mark Macon,G,/players/m/maconma01.html,185.0,5.2,0.374,2.0,18.4,0.423,7.8,0.779,4.1,3.2,126.0,20.7,0
2337,"Purdue University, University of Kentucky",6-3,Kyle Macy,G,/players/m/macyky01.html,175.0,3.8,0.366,1.4,10.7,0.514,5.5,0.883,3.8,3.4,124.0,14.4,1
2338,West Texas A&M University,6-3,Jack Maddox,F-G,/players/m/maddoja01.html,185.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
2339,"California State University, Fresno",6-4,Tito Maddox,G,/players/m/maddoti01.html,190.0,2.8,0.28600000000000003,0.8,11.2,0.391,4.4,0.703,5.5,3.9,25.0,13.5,1
2340,"University of California, Los Angeles",6-4,Gerald Madkins,G,/players/m/madkige01.html,200.0,2.4,0.399,1.0,5.0,0.52,2.6,0.725,2.0,1.5,123.0,7.6,2
2341,Stanford University,6-9,Mark Madsen,F,/players/m/madsema01.html,240.0,0.0,0.0,0.0,6.8,0.5870000000000001,4.0,0.596,5.0,3.0,108.0,10.9,2
2342,City College of New York,6-5,Norm Mager,F,/players/m/magerno01.html,185.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2343,Alabama - Huntsville,6-1,Josh Magette,G,/players/m/magetjo01.html,160.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2344,Duke University,6-6,Corey Maggette,F,/players/m/maggeco01.html,218.0,2.2,0.345,0.7,6.7,0.525,3.5,0.716,4.0,2.8,39.0,10.6,3
2345,University of Kansas,6-8,Dave Magley,F,/players/m/magleda01.html,202.0,0.9,0.333,0.3,8.1,0.459,3.7,0.7909999999999999,2.1,1.6,113.0,9.0,2
2346,University of Kentucky,6-11,Jamaal Magloire,C,/players/m/magloja01.html,259.0,0.0,0.25,0.0,5.4,0.503,2.7,0.636,3.0,1.9,145.0,7.3,2
2347,Clemson University,6-7,Randolph Mahaffey,F,/players/m/mahafra01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2348,Georgetown University,6-8,John Mahnken,C,/players/m/mahnkjo01.html,220.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
2349,Manhattan College,6-3,Brian Mahoney,G,/players/m/mahonbr01.html,175.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2350,Brown University,6-2,Mo Mahoney,F,/players/m/mahonmo01.html,205.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2351,Hampton University,6-10,Rick Mahorn,C-F,/players/m/mahorri01.html,240.0,0.1,0.222,0.0,9.7,0.5455000000000001,5.15,0.6619999999999999,4.05,2.75,93.5,13.4,3
2352,Central Michigan University,6-6,Dan Majerle,G-F,/players/m/majerda01.html,215.0,2.0,0.431,0.9,15.7,0.536,8.4,0.631,7.0,4.4,94.0,21.8,0
2353,"South Plains College, California State University, Fresno",6-7,Renaldo Major,F,/players/m/majorre01.html,200.0,1.6,0.424,0.7,7.3,0.477,3.5,0.795,3.2,2.6,41.0,10.2,1
2354,City College of New York,5-9,Lionel Malamed,G,/players/m/malamli01.html,150.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2355,Mississippi State University,6-4,Jeff Malone,G,/players/m/malonje01.html,205.0,3.8,0.366,1.4,16.1,0.512,8.2,0.809,3.7,3.0,110.0,19.5,0
2356,Louisiana Tech University,6-9,Karl Malone,F,/players/m/malonka01.html,250.0,0.9,0.333,0.3,12.5,0.5660000000000001,7.1,0.631,7.1,4.5,92.0,18.7,0
2357,"Vanderbilt University, University of Pennsylvania",6-3,Matt Maloney,G,/players/m/malonma01.html,192.0,6.0,0.405,2.4,9.8,0.419,4.1,0.7929999999999999,1.8,1.5,113.0,12.1,1
2358,"University of Southern California, San Diego State University",6-10,Steve Malovic,F,/players/m/malovst01.html,230.0,0.9,0.333,0.3,8.8,0.546,4.8,0.797,3.0,2.4,106.0,11.9,3
2359,Davidson College,6-7,Mike Maloy,F,/players/m/maloymi01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2360,Princeton University,6-2,Ted Manakas,G,/players/m/manakte01.html,180.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2361,Oregon State University,6-4,John Mandic,F-C,/players/m/mandijo01.html,205.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
2362,New York University,5-10,Frank Mangiapane,G,/players/m/mangifr01.html,195.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2363,University of Kansas,6-10,Danny Manning,F-C,/players/m/mannida01.html,230.0,0.4,0.345,0.1,13.9,0.593,8.3,0.74,4.7,3.5,147.0,20.1,3
2364,Jackson State University,6-7,Ed Manning,F,/players/m/mannied01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2365,Prairie View A&M University,6-6,Guy Manning,F,/players/m/mannigu01.html,195.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2366,"Syracuse University, University of Washington",6-11,Rich Manning,C,/players/m/manniri01.html,253.0,0.1,0.25,0.0,7.3,0.55,4.0,0.738,2.1,1.5,121.0,9.5,2
2367,University of Utah,6-7,Pace Mannion,G,/players/m/mannipa01.html,190.0,3.8,0.366,1.4,7.3,0.451,3.3,0.7240000000000001,3.0,2.1,116.0,8.8,1
2368,Northwestern University,6-3,Nick Mantis,G,/players/m/mantini01.html,190.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2369,Louisiana State University,6-5,Pete Maravich,G,/players/m/maravpe01.html,197.0,3.8,0.366,1.4,38.1,0.438,16.7,0.775,13.9,10.8,83.0,44.2,0
2370,Davis & Elkins College,6-0,Press Maravich,G,/players/m/maravpr01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2371,University of Iowa,6-6,Devyn Marble,G-F,/players/m/marblde01.html,200.0,2.9,0.338,1.0,10.0,0.415,4.1,0.726,4.4,3.2,136.0,12.5,1
2372,University of Iowa,6-6,Roy Marble,G-F,/players/m/marblro01.html,190.0,0.7,0.342,0.3,10.9,0.539,5.9,0.73,5.3,3.9,134.0,15.8,3
2373,Georgia Institute of Technology,6-2,Stephon Marbury,G,/players/m/marbust01.html,180.0,6.6,0.37,2.4,14.3,0.457,6.5,0.738,4.6,3.4,36.0,18.9,0
2374,Harvard University,5-11,Saul Mariaschin,G,/players/m/mariasa01.html,165.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2375,Duke University,6-7,Jack Marin,F-G,/players/m/marinja01.html,200.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
2376,"University of Nevada, Las Vegas",6-7,Shawn Marion,F,/players/m/mariosh01.html,220.0,2.3,0.299,0.7,14.4,0.529,7.6,0.73,3.8,2.8,29.0,18.7,0
2377,University of Arizona,7-0,Lauri Markkanen,F-C,/players/m/markkla01.html,230.0,4.4,0.423,1.9,10.2,0.4920000000000001,5.0,0.835,4.4,3.7,37.0,15.6,1
2378,University of California,6-10,Sean Marks,F-C,/players/m/marksse01.html,250.0,0.3,0.4,0.1,5.1,0.487,2.5,0.669,2.1,1.4,86.0,6.5,2
2379,Eastern Michigan University,6-3,Harvey Marlatt,G,/players/m/marlaha01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2380,University of Southern California,6-7,Jim Marsh,F,/players/m/marshji01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2381,Manhattan College,6-3,Ricky Marsh,G,/players/m/marshri01.html,200.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2382,University of Connecticut,6-7,Donny Marshall,F,/players/m/marshdo02.html,230.0,1.3,0.302,0.4,7.4,0.474,3.5,0.7909999999999999,3.2,2.5,121.0,9.9,2
2383,University of Connecticut,6-9,Donyell Marshall,F,/players/m/marshdo01.html,218.0,2.7,0.306,0.8,13.5,0.487,6.6,0.77,5.4,4.1,91.0,18.1,0
2384,University of North Carolina,6-4,Kendall Marshall,G,/players/m/marshke01.html,200.0,1.8,0.366,0.7,5.6,0.446,2.5,0.693,2.2,1.5,73.0,7.2,2
2385,"Ball State University, Oakland University",6-9,Rawle Marshall,G-F,/players/m/marshra01.html,190.0,3.4,0.311,1.0,12.7,0.445,5.6,0.727,5.8,4.2,103.0,16.5,0
2386,Western Kentucky University,6-4,Tom Marshall,F-G,/players/m/marshto01.html,215.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
2387,University of Oklahoma,6-7,Vester Marshall,F,/players/m/marshve01.html,200.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2388,Georgetown University,6-7,Bill Martin,F,/players/m/martibi01.html,205.0,0.9,0.333,0.3,6.9,0.519,3.6,0.6890000000000001,3.0,2.1,142.0,9.2,2
2389,University of Minnesota,7-0,Bob Martin,C,/players/m/martibo01.html,250.0,0.0,0.25,0.0,3.0,0.612,1.8,0.5770000000000001,1.6,0.9,119.0,4.6,2
2390,University of Kansas,6-9,Brian Martin,F,/players/m/martibr01.html,212.0,0.9,0.333,0.3,3.3,0.507,1.7,0.585,1.4,0.8,84.0,4.2,2
2391,Kansas State University,6-7,Cartier Martin,F,/players/m/martica01.html,220.0,4.0,0.399,1.6,10.1,0.458,4.6,0.78,3.8,2.9,112.0,13.8,1
2392,Purdue University,6-5,Cuonzo Martin,G-F,/players/m/marticu01.html,213.0,3.1,0.451,1.4,9.7,0.472,4.6,0.777,3.3,2.6,127.0,13.1,1
2393,"University of California, Los Angeles",5-11,Darrick Martin,G,/players/m/martida01.html,170.0,1.7,0.322,0.5,6.9,0.458,3.1,0.754,3.2,2.4,129.0,9.3,1
2394,Georgetown University,5-8,Dino Martin,G,/players/m/martidi01.html,160.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2395,Central Missouri State University,6-7,Don Martin,C-F,/players/m/martido01.html,210.0,0.1,0.222,0.0,9.7,0.5455000000000001,5.15,0.6619999999999999,4.05,2.75,93.5,13.4,3
2396,Louisiana State University,6-10,Jarell Martin,F,/players/m/martija01.html,239.0,2.0,0.308,0.6,10.1,0.494,5.0,0.6890000000000001,4.5,3.1,65.0,13.7,3
2397,Murray State University,6-5,Jeff Martin,G,/players/m/martije01.html,195.0,2.5,0.449,1.1,15.2,0.522,7.9,0.7659999999999999,6.0,4.6,117.0,21.2,0
2398,University of Cincinnati,6-9,Kenyon Martin,F,/players/m/martike01.html,234.0,0.1,0.222,0.0,7.5,0.586,4.4,0.581,3.7,2.2,116.0,11.0,2
2399,Western Carolina University,6-7,Kevin Martin,G,/players/m/martike02.html,199.0,6.4,0.34600000000000003,2.2,15.5,0.462,7.2,0.841,8.0,6.8,79.0,23.3,0
2400,Loyola University of Chicago,6-11,LaRue Martin,C,/players/m/martila01.html,208.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
2401,Saint Joseph's University,6-6,Maurice Martin,F-G,/players/m/martima01.html,200.0,2.0,0.404,0.8,11.3,0.516,5.8,0.737,4.4,3.3,114.0,15.1,3
2402,University of Toledo,6-3,Phil Martin,G,/players/m/martiph01.html,190.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2403,University of Texas at Austin,5-10,Slater Martin,G,/players/m/martisl01.html,170.0,3.8,0.366,1.4,10.7,0.455,5.3,1.152,1.8,2.1,90.0,12.7,1
2404,St. Bonaventure University,6-2,Whitey Martin,G,/players/m/martiwh01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2405,University of Kentucky,6-8,Jamal Mashburn,F,/players/m/mashbja01.html,240.0,4.0,0.376,1.5,13.3,0.516,6.9,0.6970000000000001,5.1,3.5,98.0,18.8,0
2406,Canisius College,5-10,Al Masino,G,/players/m/masinal01.html,174.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2407,Tennessee State University,6-7,Anthony Mason,F,/players/m/masonan01.html,250.0,2.4,0.438,1.0,15.3,0.461,7.1,0.713,5.7,4.1,111.0,18.7,0
2408,Oklahoma State University,6-7,Desmond Mason,F,/players/m/masonde01.html,224.0,2.7,0.3720000000000001,1.0,9.8,0.486,4.8,0.731,3.6,2.6,129.0,13.2,1
2409,University of Kansas,6-0,Frank Mason,G,/players/m/masonfr01.html,189.0,3.0,0.42,1.3,9.2,0.454,4.2,0.7609999999999999,4.4,3.3,145.0,13.0,1
2410,University of Virginia,6-5,Roger Mason,G,/players/m/masonro01.html,200.0,4.1,0.375,1.5,10.0,0.436,4.4,0.8690000000000001,4.1,3.6,89.0,13.8,1
2411,University of Maryland,6-9,Tony Massenburg,F,/players/m/masseto01.html,220.0,0.0,0.0,0.0,8.9,0.523,4.7,0.643,4.3,2.7,112.0,12.1,3
2412,Temple University,6-9,Eddie Mast,F-C,/players/m/masted01.html,220.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
2413,University of Louisville,6-10,Mangok Mathiang,C-F,/players/m/mathima01.html,230.0,0.0,0.222,0.0,3.6,0.506,1.8,0.599,1.9,1.2,114.0,4.8,2
2414,Savannah State University,6-6,Johnny Mathis,F,/players/m/mathijo01.html,220.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2415,University of Wisconsin,6-1,Wes Matthews,G,/players/m/matthwe01.html,170.0,3.8,0.366,1.4,14.9,0.477,7.1,0.8170000000000001,4.8,4.0,69.0,18.1,0
2416,Marquette University,6-5,Wesley Matthews,G,/players/m/matthwe02.html,220.0,2.3,0.341,0.8,9.1,0.444,4.0,0.799,5.4,4.3,127.0,13.2,1
2417,Utah State University,6-4,Ariel Maughan,F,/players/m/maughar01.html,190.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2418,"University of Minnesota, University of Texas at El Paso",6-8,Marlon Maxey,F,/players/m/maxeyma01.html,250.0,0.0,0.333,0.0,8.3,0.518,4.3,0.708,4.9,3.5,85.0,12.1,3
2419,University of Cincinnati,6-7,Jason Maxiell,F,/players/m/maxieja01.html,260.0,0.1,0.28600000000000003,0.0,8.6,0.507,4.4,0.653,5.2,3.4,129.0,12.1,3
2420,University of North Carolina at Charlotte,6-8,Cedric Maxwell,F,/players/m/maxwece01.html,205.0,0.9,0.333,0.3,10.2,0.586,6.0,0.753,5.7,4.3,112.0,16.3,3
2421,University of Florida,6-4,Vernon Maxwell,G,/players/m/maxweve01.html,180.0,4.1,0.375,1.5,15.3,0.462,7.1,0.715,5.4,3.9,130.0,18.8,0
2422,University of Dayton,6-4,Don May,F,/players/m/maydo01.html,200.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2423,Indiana University,6-7,Scott May,F,/players/m/maysc01.html,215.0,0.9,0.333,0.3,14.4,0.513,7.4,0.774,3.7,2.9,90.0,17.7,3
2424,University of North Carolina,6-9,Sean May,F,/players/m/mayse01.html,266.0,0.1,0.0,0.0,11.2,0.513,5.7,0.7170000000000001,6.0,4.3,77.0,15.8,3
2425,University of Arkansas,6-1,Lee Mayberry,G,/players/m/maybele01.html,172.0,3.7,0.424,1.6,10.5,0.495,5.2,0.7240000000000001,2.7,2.0,139.0,14.0,1
2426,Furman University,6-8,Clyde Mayes,F,/players/m/mayescl01.html,225.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2427,Florida State University,6-3,Tharon Mayes,G,/players/m/mayesth01.html,175.0,4.4,0.38,1.7,12.2,0.495,6.1,0.784,3.3,2.6,77.0,16.4,1
2428,University of Iowa,6-7,Bill Mayfield,F,/players/m/mayfibi01.html,205.0,0.9,0.333,0.3,6.6,0.471,3.1,0.642,2.5,1.6,78.0,7.8,2
2429,Tuskegee University,6-2,Ken Mayfield,G,/players/m/mayfike01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2430,Virginia Commonwealth University,6-3,Eric Maynor,G,/players/m/maynoer01.html,175.0,3.0,0.37,1.1,11.2,0.449,5.0,0.7909999999999999,4.9,3.9,130.0,15.0,1
2431,University of Southern California,6-5,O.J. Mayo,G,/players/m/mayooj01.html,210.0,6.5,0.409,2.7,16.2,0.442,7.2,0.8029999999999999,4.6,3.7,33.0,20.7,0
2432,University of Texas at Austin,6-2,Travis Mays,G,/players/m/maystr01.html,190.0,5.4,0.37,2.0,13.8,0.442,6.1,0.746,5.6,4.2,124.0,18.4,0
2433,Michigan State University,6-3,Matt Mazza,F,/players/m/mazzama01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2434,"University of California, Los Angeles",6-8,Luc Mbah a Moute,F,/players/m/mbahalu01.html,230.0,0.9,0.215,0.2,6.8,0.503,3.4,0.6679999999999999,2.5,1.7,107.0,8.7,2
2435,University of North Carolina,6-9,Bob McAdoo,C-F,/players/m/mcadobo01.html,210.0,0.1,0.222,0.0,15.2,0.516,7.8,0.7070000000000001,5.4,3.8,31.0,19.5,0
2436,University of North Carolina,6-9,James Michael McAdoo,F,/players/m/mcadoja01.html,230.0,0.1,0.0,0.0,9.7,0.447,4.3,0.569,4.9,2.8,108.0,11.4,3
2437,University of Detroit Mercy,6-3,Ray McCallum,G,/players/m/mccalra01.html,190.0,3.3,0.29,1.0,11.5,0.465,5.4,0.723,5.8,4.2,102.0,15.9,1
2438,"Upsala College, Morehead State University",6-6,Bob McCann,F,/players/m/mccanbo01.html,244.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
2439,St. Bonaventure University,6-2,Brendan McCann,G,/players/m/mccanbr01.html,178.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
2440,Purdue University,6-8,Mel McCants,F,/players/m/mccanme01.html,240.0,0.9,0.333,0.0,8.1,0.562,4.6,0.6459999999999999,5.1,3.3,125.0,12.4,3
2441,University of North Carolina,6-4,Rashad McCants,G,/players/m/mccanra01.html,207.0,5.4,0.415,2.3,12.9,0.486,6.3,0.721,3.8,2.8,98.0,17.6,1
